Company,Sector,City,Tier (proposed),Site employees,Cafeteria evidence,Operator,Buyer titles,Fit hypothesis,Source,Route time,Contract access
CSL Group,Transportation,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Elopak Canada,Packaging,Boisbriand,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Fednav,Transportation,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Fresche Solutions,Technology,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Groupe Bel Canada,Food,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Groupe CH,Sports & entertainment,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Insight Canada,Technology,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Kruger,Industrial,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Laurentide Controls,Industrial technology,Kirkland,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Metro,Retail headquarters,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Motive Studio,Gaming,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
MSC Canada,Transportation,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
OneSpan Canada,Technology,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Plusgrade,Technology,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Polytechnique Montréal,Education,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Pomerleau,Construction,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Solotech,Audiovisual,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
WB Games Montréal,Gaming,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
